ID,Q1 In which country do you live?,Q2 What is your current job position?,Q3 How many years of programming experience do you have?,Q4 How many years of programming experience do you have concerning native Android apps? Please specify overall,Q4 How many years of programming experience do you have concerning native Android apps? Please specify Java,Q4 How many years of programming experience do you have concerning native Android apps? Please specify Kotlin,Q4 How many years of programming experience do you have concerning native Android apps? Please specify Dart/Flutter,Q5 How many years of programming experience do you have concerning the testing of native Android apps?,Q6 Which factors do you consider to estimate the likelihood of a vulnerability to be exploited?,Q7 Which factors do you consider to estimate the negative impact of a vulnerability in case it is exploited?,Q8 Which are the most common security vulnerabilities that you found?,Q9 Which vulnerabilities do you consider as the most dangerous?,Q10 How do you detect vulnerabilities? Do you use any speciﬁc tool for this task?,Q10 How do you detect vulnerabilities? Do you use any speciﬁc tool for this task?
1,Colombia,undergraduate,5,1,1,0,0,1,"Chances to enable a successful exploit, Number of agents needed to be exploited, Ease of discovery","Confidentiality, Integrity, Business profits, Privacy violation",External libraries and user permissions as bluetooth,lifting permits,Using static tools (code analyzers),"Android Profiler, Sonarqube, NewRelic"
2,Colombia,PhD,7,3,2,1,0,1,"Skill level required in order to be exploited, Number of agents needed to be exploited, Ease of discovery, Awareness (How well known is this security vulnerability)","Confidentiality, Availability, Privacy violation",ANR cause by thread handling,"wrong storage of credentials, evaluate the specific requirements for the usage and define an strategy to store and use the provided credentials","Analysing issue reports, Doing code reviewing, Using static tools (code analyzers), Conducting forensics (e.g., Log analysis)",manual analysis
3,Colombia,Tech leader,4,2,2,1,0,0,"Skill level required in order to be exploited, Motivations to exploit it, Ease of discovery, Technically simple to exploit","Availability, Business profits, Privacy violation",Invalid parameters and token issues like not sending them or brute force. We use manual approach.,"Looking at logs that were not obfuscated and also sending multiple requests at the same time, finally brute force. Blocking requests coming from an ip in a certain amount of time.","Analysing issue reports, Doing code reviewing, Conducting manual penetration testing (Dynamic analysis tools), Conducting forensics (e.g., Log analysis)",None
4,Colombia,Backend Developer,4,1,1,0,0,1,"Motivations to exploit it, Chances to enable a successful exploit, Technically simple to exploit","Confidentiality, Privacy violation","Information exposure, I detected it by extracting local databases and analyzing if the information was properly encrypted. Besides, I extracted logs that developers left printed in console, some of them had sensitive information. ","I consider confidentiality vulnerabilities are the most dangerous because they expose user information and it could be used against the user himself. I have used encryption to store user preferences locally to avoid expose them. Also, usually I store user information in external databases but encrypted as well.","Conducting manual penetration testing (Dynamic analysis tools), Conducting automated penetration testing",
5,Colombia,Project Management Engineer,3,1,1,0,0,1,"Skill level required in order to be exploited, Chances to enable a successful exploit, Awareness (How well known is this security vulnerability), Intrusion Detection (How likely is an exploit to be detected)","Confidentiality, Integrity, Business profits, Privacy violation",Ask permission for accessing information in your phone. Very few apps don't ask to access to be functionality,"Cut permission for accesing information. Generally the apps only need to access to cam, gps, and others. But never over your call agenda, contacts. Sometimes is very hard try to cut the rquirements fir accesing info","Analysing App reviews, Analysing issue reports, Conducting manual penetration testing (Dynamic analysis tools), Conducting automated penetration testing",Kaspersky Mobile Security Add-on tool - Sometimes AppScan
6,Hungary,Android developer,5,5,5,2,0,1,"Chances to enable a successful exploit, Technically simple to exploit","Confidentiality, Business profits",Plain text storage of confidential data,"Unencrypted data storage and api calls. Use https, cert pinning, encrypted shared prefs","Doing code reviewing, Using static tools (code analyzers), None",
7,Canada,Bachelor,1,1,1,0,0,1,"Skill level required in order to be exploited, Motivations to exploit it, Chances to enable a successful exploit, Ease of discovery, Technically simple to exploit, Awareness (How well known is this security vulnerability)","Accountability, Brand reputation, Business profits, Privacy violation",None,Bine,None,
8,India,Bachelor,0,0,,,,,,,,,,
9,Macedonia,Bachelor,2,2,0,2,0,2,"Skill level required in order to be exploited, Motivations to exploit it, Number of agents needed to be exploited, Ease of discovery","Integrity, Accountability, Brand reputation, Privacy violation","Reverse engineering, anyone can decompile the app if you're not using Proguard/R8 you're doomed, also storing sensitive data in Shared preferences and ignoring simple Manifest xml inputs to be turned off.",Storing private keys inside the app,Time bombs,
10,Germany,Android app developer,10+,4,4,3,0,4,"Motivations to exploit it, Chances to enable a successful exploit, Number of agents needed to be exploited, Awareness (How well known is this security vulnerability)","Confidentiality, Integrity, Brand reputation, Privacy violation",nope,nope,"Doing code reviewing, Using static tools (code analyzers)",
11,Colombia,Senior Android developer,6,5,4,2,0,4,"Skill level required in order to be exploited, Ease of discovery, Technically simple to exploit","Confidentiality, Integrity, Brand reputation, Business profits, Privacy violation","Saving the user credentials in shared preference, use ssl, request only necessary permissions ",Store data safely because other person can access really easy to the data.,"Doing code reviewing, Using static tools (code analyzers)",None
12,Colombia,Back-end developer,5,1,1,0,0,1,"Skill level required in order to be exploited, Ease of discovery, Technically simple to exploit","Confidentiality, Availability, Business profits, Privacy violation","Fields validation, lack of testing process, to expose ports and services without authentication, to ask not necessary mobile permissions and to not validate roles in the apps.","Lack of security at the login leads to steal of sensitive data and illegal entries into the system. To prevent these kind of problems we should always validate the data that is entered and have a good password management, also to have authentication and authorization methods ","Analysing App reviews, Analysing issue reports, Doing code reviewing, Using static tools (code analyzers)",
13,Poland,Lead Android Dev,3,3,2,1,0,0,"Skill level required in order to be exploited, Motivations to exploit it, Chances to enable a successful exploit","Confidentiality, Privacy violation",Reading Database files and shared preferences,Reading Database entries - encrytping every single database entry,"Analysing App reviews, Analysing issue reports, Doing code reviewing, Conducting manual penetration testing (Dynamic analysis tools), Conducting forensics (e.g., Log analysis)",
14,Italy,Developer,10+,6,6,1,0,5,"Skill level required in order to be exploited, Motivations to exploit it, Awareness (How well known is this security vulnerability)","Confidentiality, Integrity, Privacy violation","The most common are those related to wrong validation of data, but are also the easier to fix, usually with a small patch. The most complex to fix and detect are those related to threadjacking","It's not about the type of vulnerability, but the impact they have. Those that allow to collect private data from the phones are the most dangerous ones.","Analysing issue reports, Doing code reviewing, Conducting manual penetration testing (Dynamic analysis tools)",
15,Colombia,Developer,7,7,7,3,0,3,"Motivations to exploit it, Chances to enable a successful exploit, Number of agents needed to be exploited, Technically simple to exploit, Awareness (How well known is this security vulnerability), Intrusion Detection (How likely is an exploit to be detected)","Confidentiality, Integrity, Brand reputation, Business profits",Logging information - Deactivating logs.,Most dangerous security are the ones that expose credentials to an attacker - Fix (Don't save plain text credentials),"Doing code reviewing, Using static tools (code analyzers), Conducting manual penetration testing (Dynamic analysis tools), Conducting forensics (e.g., Log analysis)",
